n;mae;;;;
786;0,405672049;;;;
787;0,412135474;;;;
788;0,415246746;;;;
789;0,418443707;;;;
790;0,421397449;;;;
791;0,418944344;;;;
792;0,419168123;;;;
793;0,411452666;;;;
794;0,413168256;;;;
795;0,406557055;;;;
796;0,400367272;;;;
797;0,402963983;;;;
798;0,405835495;;;;
799;0,398054701;;;;
800;0,390273966;;;;
801;0,383851334;;;;
802;0,377428702;;;;
803;0,38373217;;;;
804;0,375793118;;;;
805;0,36849885;;;;
806;0,377568079;;;;
807;0,378009194;;;;
808;0,377402419;;;;
809;0,378009194;;;;
810;0,377388739;;;;
811;0,376300437;;;;
812;0,385232703;;;;
813;0,385399197;;;;
814;0,385078539;;;;
815;0,375881835;;;;
816;0,384575918;;;;
817;0,384481898;;;;
818;0,376357233;;;;
819;0,376263139;;;;
820;0,376126589;;;;
821;0,368017898;;;;
822;0,359893233;;;;
823;0,3519096;;;;
824;0,351693953;;;;
825;0,342957287;;;;
826;0,344030584;;;;
827;0,350710891;;;;
828;0,351024452;;;;
829;0,359408991;;;;
830;0,368071006;;;;
831;0,368394347;;;;
832;0,369319714;;;;
833;0,377133012;;;;
834;0,368751862;;;;
835;0,369784654;;;;
836;0,360327816;;;;
837;0,350986894;;;;
838;0,350157561;;;;
839;0,351498296;;;;
840;0,360877405;;;;
841;0,352549416;;;;
842;0,36184112;;;;
843;0,361462831;;;;
844;0,361951404;;;;
845;0,353571474;;;;
846;0,348849655;;;;
847;0,347484125;;;;
848;0,352489171;;;;
849;0,361431503;;;;
850;0,360118535;;;;
851;0,364724902;;;;
852;0,37311625;;;;
853;0,371814147;;;;
854;0,371737353;;;;
855;0,381055988;;;;
856;0,379802869;;;;
857;0,374826583;;;;
858;0,370017571;;;;
859;0,370528327;;;;
860;0,362148809;;;;
861;0,364260393;;;;
862;0,359008426;;;;
863;0,367645152;;;;
864;0,36633771;;;;
865;0,365100886;;;;
866;0,356559643;;;;
867;0,351966995;;;;
868;0,351595759;;;;
869;0,356438916;;;;
870;0,356711873;;;;
871;0,355770706;;;;
872;0,351220385;;;;
873;0,355147874;;;;
874;0,363277168;;;;
875;0,369256708;;;;
876;0,367732901;;;;
877;0,36795671;;;;
878;0,375664569;;;;
879;0,366842853;;;;
880;0,375261259;;;;
881;0,367918482;;;;
882;0,366436919;;;;
883;0,366151177;;;;
884;0,365217458;;;;
885;0,373680895;;;;
886;0,375043143;;;;
887;0,370110662;;;;
888;0,37063091;;;;
889;0,376436473;;;;
890;0,379182862;;;;
891;0,376436473;;;;
892;0,376231465;;;;
893;0,376238388;;;;
894;0,3783761;;;;
895;0,379043884;;;;
896;0,378191482;;;;
897;0,377571929;;;;
898;0,376952376;;;;
899;0,37903381;;;;
900;0,381115185;;;;
901;0,382015819;;;;
902;0,382916453;;;;
903;0,380330324;;;;
904;0,380505417;;;;
905;0,381066604;;;;
906;0,373386951;;;;
907;0,380409505;;;;
908;0,379626705;;;;
909;0,379869;;;;
910;0,380356264;;;;
911;0,372417529;;;;
912;0,363833586;;;;
913;0,365252254;;;;
914;0,365581854;;;;
915;0,365566922;;;;
916;0,363653465;;;;
917;0,365029854;;;;
918;0,365171;;;;
919;0,373649514;;;;
920;0,373833114;;;;
921;0,373818863;;;;
922;0,373821493;;;;
923;0,373111576;;;;
924;0,366636842;;;;
925;0,375744499;;;;
926;0,375157874;;;;
927;0,367040204;;;;
928;0,367609748;;;;
929;0,359131814;;;;
930;0,35067001;;;;
931;0,350671083;;;;
932;0,349568908;;;;
933;0,350302672;;;;
934;0,35920142;;;;
935;0,350185053;;;;
936;0,358861591;;;;
937;0,35866692;;;;
938;0,358838368;;;;
939;0,358085261;;;;
940;0,357090786;;;;
941;0,36577269;;;;
942;0,35638775;;;;
943;0,357381504;;;;
944;0,365441289;;;;
945;0,364243139;;;;
946;0,373764404;;;;
947;0,374006578;;;;
948;0,364295806;;;;
949;0,355051293;;;;
950;0,355423488;;;;
951;0,345996003;;;;
952;0,336523895;;;;
953;0,336718812;;;;
954;0,344970303;;;;
955;0,33574673;;;;
956;0,34527239;;;;
957;0,354219041;;;;
958;0,3549885;;;;
959;0,354190241;;;;
960;0,353982689;;;;
961;0,346839661;;;;
962;0,346159262;;;;
963;0,346412596;;;;
964;0,346550503;;;;
965;0,34730345;;;;
966;0,356328332;;;;
967;0,356950616;;;;
968;0,356163581;;;;
969;0,355541465;;;;
970;0,363581789;;;;
971;0,372212759;;;;
972;0,380984122;;;;
973;0,372551666;;;;
974;0,363277442;;;;
975;0,363123835;;;;
976;0,372605707;;;;
977;0,363963312;;;;
978;0,355319599;;;;
979;0,356264875;;;;
980;0,35566661;;;;
981;0,357536793;;;;
982;0,359134822;;;;
983;0,361004258;;;;
984;0,36765494;;;;
985;0,361444179;;;;
986;0,362334705;;;;
987;0,363225258;;;;
988;0,361929719;;;;
989;0,355348865;;;;
990;0,351827184;;;;
991;0,350531645;;;;
992;0,3509691;;;;
993;0,356677318;;;;
994;0,354712785;;;;
995;0,353369217;;;;
996;0,352941967;;;;
997;0,352515071;;;;
998;0,35269169;;;;
999;0,350727176;;;;
1000;0,349431637;;;;
1001;0,353000504;;;;
1002;0,351704965;;;;
1003;0,349757834;;;;
1004;0,349732192;;;;
1005;0,356698635;;;;
1006;0,362126596;;;;
1007;0,363140954;;;;
1008;0,36453053;;;;
1009;0,372617777;;;;
1010;0,363243522;;;;
1011;0,36294038;;;;
1012;0,362637323;;;;
1013;0,370547883;;;;
1014;0,370421407;;;;
1015;0,379521669;;;;
1016;0,372349915;;;;
1017;0,371240918;;;;
1018;0,371367274;;;;
1019;0,371974049;;;;
1020;0,380918269;;;;
1021;0,380688889;;;;
1022;0,389948978;;;;
1023;0,389794899;;;;
1024;0,39705377;;;;
1025;0,39725127;;;;
1026;0,406048974;;;;
1027;0,4153435;;;;
1028;0,405754723;;;;
1029;0,413106487;;;;
1030;0,422175066;;;;
1031;0,421880419;;;;
1032;0,422855449;;;;
1033;0,423298542;;;;
1034;0,414366669;;;;
1035;0,423450083;;;;
1036;0,424056858;;;;
1037;0,423902556;;;;
1038;0,423748272;;;;
1039;0,42485048;;;;
1040;0,425170268;;;;
1041;0,425490055;;;;
1042;0,427618708;;;;
1043;0,435858932;;;;
1044;0,434718478;;;;
1045;0,444225596;;;;
1046;0,435311149;;;;
1047;0,435285867;;;;
1048;0,435318233;;;;
1049;0,435064391;;;;
1050;0,43535958;;;;
1051;0,435695196;;;;
1052;0,444492616;;;;
1053;0,444433042;;;;
1054;0,43629399;;;;
1055;0,436362185;;;;
1056;0,435805999;;;;
1057;0,436512793;;;;
1058;0,444712848;;;;
1059;0,445202551;;;;
1060;0,444527387;;;;
1061;0,442946342;;;;
1062;0,442266164;;;;
1063;0,434088739;;;;
1064;0,442974757;;;;
1065;0,442930934;;;;
1066;0,442974757;;;;
1067;0,451192399;;;;
1068;0,46074459;;;;
1069;0,451885178;;;;
1070;0,451620381;;;;
1071;0,45213361;;;;
1072;0,4518476;;;;
1073;0,460287597;;;;
1074;0,469635508;;;;
1075;0,470587074;;;;
1076;0,461147531;;;;
1077;0,469633784;;;;
1078;0,478920595;;;;
1079;0,478841997;;;;
1080;0,470088118;;;;
1081;0,477046649;;;;
1082;0,483934033;;;;
1083;0,49082123;;;;
1084;0,492655983;;;;
1085;0,490368468;;;;
1086;0,49658677;;;;
1087;0,502805072;;;;
1088;0,500537904;;;;
1089;0,506756206;;;;
1090;0,504469096;;;;
1091;0,502181454;;;;
1092;0,501934613;;;;
1093;0,504134935;;;;
1094;0,511022231;;;;
1095;0,509669178;;;;
1096;0,516539378;;;;
1097;0,523409224;;;;
1098;0,521330292;;;;
1099;0,527080459;;;;
1100;0,532721139;;;;
1101;0,534067495;;;;
1102;0,540278256;;;;
1103;0,539536306;;;;
1104;0,538853397;;;;
1105;0,529636562;;;;
1106;0,523975222;;;;
1107;0,523000188;;;;
1108;0,513872943;;;;
1109;0,514063883;;;;
1110;0,521657621;;;;
1111;0,521631746;;;;
1112;0,521834555;;;;
1113;0,521189974;;;;
1114;0,521216163;;;;
1115;0,512418237;;;;
1116;0,512166963;;;;
1117;0,511899841;;;;
1118;0,51898135;;;;
1119;0,510183376;;;;
1120;0,501237485;;;;
1121;0,510252312;;;;
1122;0,500948167;;;;
1123;0,501118032;;;;
1124;0,500259664;;;;
1125;0,500154403;;;;
1126;0,500226504;;;;
1127;0,490970246;;;;
1128;0,490993582;;;;
1129;0,483470261;;;;
1130;0,474214016;;;;
1131;0,474196817;;;;
1132;0,474635176;;;;
1133;0,475022876;;;;
1134;0,484469943;;;;
1135;0,47498838;;;;
1136;0,46566871;;;;
1137;0,475207807;;;;
1138;0,484518802;;;;
1139;0,474777874;;;;
1140;0,475140097;;;;
1141;0,475814784;;;;
1142;0,473514581;;;;
1143;0,47372122;;;;
1144;0,465962131;;;;
1145;0,465654211;;;;
1146;0,465047154;;;;
1147;0,474487007;;;;
1148;0,483769866;;;;
1149;0,484078097;;;;
1150;0,492799465;;;;
1151;0,500697749;;;;
1152;0,500306904;;;;
1153;0,500366725;;;;
1154;0,50933895;;;;
1155;0,518183552;;;;
1156;0,518235;;;;
1157;0,508668597;;;;
1158;0,508624774;;;;
1159;0,516977279;;;;
1160;0,525638056;;;;
1161;0,525718881;;;;
1162;0,525799555;;;;
1163;0,52524408;;;;
1164;0,516444753;;;;
1165;0,524740078;;;;
1166;0,516444753;;;;
1167;0,507645244;;;;
1168;0,506117188;;;;
1169;0,506203276;;;;
1170;0,497715911;;;;
1171;0,489028863;;;;
1172;0,489297287;;;;
1173;0,489947071;;;;
1174;0,489416254;;;;
1175;0,488464688;;;;
1176;0,497236039;;;;
1177;0,498179717;;;;
1178;0,489475082;;;;
1179;0,497380477;;;;
1180;0,506151942;;;;
1181;0,497825547;;;;
1182;0,49809397;;;;
1183;0,489425936;;;;
1184;0,490129127;;;;
1185;0,499338134;;;;
1186;0,499857322;;;;
1187;0,50037651;;;;
1188;0,500241652;;;;
1189;0,492103079;;;;
1190;0,501127679;;;;
1191;0,501013107;;;;
1192;0,50083031;;;;
1193;0,50073426;;;;
1194;0,50178312;;;;
1195;0,510105694;;;;
1196;0,50178312;;;;
1197;0,493114669;;;;
1198;0,502163123;;;;
1199;0,504003423;;;;
1200;0,495912543;;;;
1201;0,496501583;;;;
1202;0,497212314;;;;
1203;0,496157867;;;;
1204;0,504214669;;;;
1205;0,513819986;;;;
1206;0,512191738;;;;
1207;0,504679066;;;;
1208;0,513831821;;;;
1209;0,513442371;;;;
1210;0,51509867;;;;
1211;0,524374678;;;;
1212;0,53350196;;;;
1213;0,524707082;;;;
1214;0,533834411;;;;
1215;0,533393309;;;;
1216;0,542462437;;;;
1217;0,542308456;;;;
1218;0,534759104;;;;
1219;0,543892742;;;;
1220;0,543466065;;;;
1221;0,544073273;;;;
1222;0,543887043;;;;
1223;0,552955935;;;;
1224;0,544397834;;;;
1225;0,535210239;;;;
1226;0,535137895;;;;
1227;0,544861996;;;;
1228;0,554319709;;;;
1229;0,55433688;;;;
1230;0,554354007;;;;
1231;0,56381172;;;;
1232;0,554134332;;;;
1233;0,553746632;;;;
1234;0,544299867;;;;
1235;0,553781429;;;;
1236;0,554105883;;;;
1237;0,553983077;;;;
1238;0,544757457;;;;
1239;0,545286016;;;;
1240;0,545388143;;;;
1241;0,535714841;;;;
1242;0,536014162;;;;
1243;0,536017296;;;;
