case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability;step_22_probability;step_23_probability
416;0,596468976;0,475247525;0,345323741;0,712871287;0;0;0;0,146668187;1,5;True;-1;7;0,065659404;0,074101478;0,061315995;0,054210991;0,046069037;0,045071397;0,044562846;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
417;0,601555946;0,485148515;0,346889952;0,702970297;0;0;0;0,169857859;1,5;True;-1;9;0,059197478;0,056939375;0,052268449;0,04992079;0,049799841;0,044619508;0,04351712;0,04240375;0,041675124;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
418;0,595853716;0,485148515;0,346062053;0,702970297;1;0;0;0,176382358;-0,007692308;False;8;13;0,051911958;0,056226879;0,050693646;0,049296144;0,048395533;0,045741208;0,045541257;0,04457042;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
419;0,594842102;0,485148515;0,347619048;0,693069307;0;0;0;0,198219541;1,5;True;-1;13;0,051634703;0,050123833;0,050818745;0,049214829;0,048647095;0,049394015;0,046688464;0,046809118;0,046707015;0,045234427;0,043896277;0,042885486;0,042492591;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
420;0,598911366;0,495049505;0,349168646;0,693069307;1;0;0;0,20860658;0,209090909;True;2;11;0,084840707;0,078935906;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
421;0,590109058;0,504950495;0,3507109;0,693069307;1;0;0;0,214577177;-0,13030303;True;8;11;0,056528229;0,055130009;0,053938579;0,051623728;0,049615994;0,120073624;0,108734399;0,106341057;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
422;0,586239003;0,514851485;0,352245863;0,683168317;0;0;0;0,237750209;1,5;True;-1;13;0,075144447;0,071867965;0,074852951;0,075797595;0,063267089;0,072046809;0,057261419;0,069127358;0,066383556;0,055703007;0,053417988;0,054932859;0,060301263;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
423;0,584912868;0,524752475;0,353773585;0,683168317;1;0;0;0,246771111;0,011111111;True;4;9;0,048178077;0,047385965;0,049559638;0,043812763;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
424;0,584427465;0,514851485;0,352941176;0,683168317;1;0;0;0,25593308;0,006060606;False;5;11;0,079528607;0,068753988;0,06898392;0,065196104;0,072751366;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
425;0,574765629;0,514851485;0,352112676;0,683168317;1;0;0;0,262291716;-0,233333333;False;14;15;0,073784888;0,076408058;0,077107839;0,069332168;0,065319926;0,064564921;0,060779203;0,066200078;0,062965631;0,063506067;0,063623436;0,065457955;0,047277473;0,04550999;-1;-1;-1;-1;-1;-1;-1;-1;-1
