case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability;step_22_probability;step_23_probability;step_24_probability;step_25_probability;step_26_probability;step_27_probability;step_28_probability;step_29_probability;step_30_probability;step_31_probability;step_32_probability;step_33_probability;step_34_probability;step_35_probability;step_36_probability;step_37_probability;step_38_probability;step_39_probability;step_40_probability;step_41_probability;step_42_probability;step_43_probability;step_44_probability;step_45_probability;step_46_probability;step_47_probability;step_48_probability;step_49_probability
3549;0,722269863;0,772277228;0,756243756;0,445544554;0;0;0;0,730538666;1,5;True;-1;2;0,049019326;0,008610133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3550;0,722269863;0,782178218;0,757242757;0,445544554;0;0;0;0,755291141;1,5;True;-1;7;0,162535906;0,100786492;0,06022336;0,037968382;0,023969039;0,014920605;0,008458886;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3551;0,722269863;0,782178218;0,757242757;0,445544554;0;0;0;0,755291141;1,5;True;-1;2;0,049019326;0,008613201;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3552;0,720687083;0,782178218;0,757242757;0,445544554;1;0;0;0,757578806;0,059259259;True;4;27;0,225723952;0,226515561;0,206696734;0,174829811;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3553;0,731384517;0,782178218;0,757242757;0,435643564;0;0;0;0,753370885;-1;False;-1;31;0,229827613;0,240492359;0,248310417;0,20881024;0,20244886;0,184587702;0,151917547;0,140287131;0,121185891;0,108311988;0,10381411;0,108627163;0,080614708;0,080371782;0,078809351;0,069026344;0,063160285;0,050204221;0,055931296;0,050071668;0,049259305;0,05256661;0,05245509;0,041956834;0,037810005;0,032388177;0,026681721;0,023089916;0,022925189;0,024420828;0,022437459;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3554;0,731384517;0,772277228;0,756243756;0,435643564;0;0;0;0,72861841;-1;False;-1;15;0,189177841;0,139881968;0,133832484;0,101055868;0,085166007;0,083608039;0,074412026;0,059163168;0,041994665;0,037320968;0,027858406;0,02324003;0,019398548;0,013579141;0,014191366;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3555;0,750159221;0,762376238;0,755244755;0,435643564;1;0;0;0,736008279;0,113043478;False;4;23;0,217654109;0,211582705;0,202968016;0,165374368;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3556;0,746674551;0,762376238;0,755244755;0,425742574;0;0;0;0,752674946;1,5;True;-1;2;0,051802263;0,009135706;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3557;0,751443806;0,762376238;0,756243756;0,435643564;1;0;0;0,73958842;0,17826087;True;1;23;0,232277662;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3558;0,756041351;0,752475248;0,755244755;0,445544554;1;0;0;0,725850796;0,1125;False;1;24;0,237581745;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3559;0,754284715;0,762376238;0,755244755;0,435643564;0;0;0;0,742847496;1,5;True;-1;5;0,134040773;0,068076015;0,036860298;0,019213159;0,008943076;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3560;0,754284715;0,762376238;0,756243756;0,435643564;0;0;0;0,742847496;1,5;True;-1;2;0,04763354;0,008469031;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3561;0,75530061;0,762376238;0,756243756;0,445544554;1;0;0;0,728986109;0,1;True;5;25;0,236117303;0,210408136;0,23272036;0,205860153;0,201470211;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3562;0,762996836;0,762376238;0,756243756;0,435643564;0;0;0;0,748045515;1,5;True;-1;15;0,216948122;0,205100685;0,186488599;0,135469854;0,110743523;0,109086402;0,091561362;0,069036916;0,052710664;0,047177423;0,034527145;0,028740808;0,020335203;0,011056826;0,008663604;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
