case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability;step_22_probability;step_23_probability;step_24_probability;step_25_probability;step_26_probability;step_27_probability;step_28_probability;step_29_probability;step_30_probability;step_31_probability;step_32_probability;step_33_probability;step_34_probability;step_35_probability;step_36_probability;step_37_probability;step_38_probability;step_39_probability;step_40_probability;step_41_probability;step_42_probability
3088;0,467622395;0,841584158;0,841158841;0,198019802;0;0;0;0,647357672;1;True;-1;2;0,004609578;0,001713133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3089;0,467622395;0,841584158;0,842157842;0,198019802;0;0;0;0,647357672;1;True;-1;4;0,008156935;0,004508864;0,002656532;0,001688699;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3090;0,467622395;0,851485149;0,842157842;0,198019802;0;0;0;0,667159652;1;True;-1;20;0,013344898;0,011488279;0,011973852;0,010768483;0,008632327;0,007464034;0,006947287;0,005825514;0,00514886;0,004515872;0,004005736;0,003675686;0,006382473;0,006310596;0,008948877;0,008762991;0,007752389;0,009463969;0,003278698;0,0020455;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3091;0,462670679;0,851485149;0,842157842;0,207920792;1;0;0;0,664009337;0,681818182;True;21;33;0,014692144;0,013284971;0,012091919;0,011073158;0,010166764;0,009811642;0,009223806;0,008767273;0,017340675;0,019695289;0,021958994;0,021241402;0,020981362;0,026123527;0,010092287;0,008674526;0,0077798;0,005423069;0,272946298;0,406000674;0,448974431;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3092;0,479554213;0,851485149;0,842157842;0,198019802;0;0;0;0,668341021;1;True;-1;2;0,004837613;0,001798421;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3093;0,493352261;0,851485149;0,842157842;0,188118812;0;0;0;0,672215321;1;True;-1;4;0,008553518;0,00473244;0,002789258;0,001755055;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3094;0,493352261;0,861386139;0,842157842;0,188118812;0;0;0;0,692017301;1;True;-1;2;0,004837613;0,001798421;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3095;0,467951804;0,861386139;0,842157842;0,188118812;1;0;0;0,689628149;0,65;True;21;30;0,014579736;0,013084331;0,014208626;0,013302022;0,011177125;0,00998637;0,009093837;0,008363878;0,017263331;0,020262728;0,025340188;0,025593311;0,023410119;0,03279924;0,010993406;0,282461107;0,438477606;0,462056816;0,091905393;0,062286876;0,168168351;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3096;0,467951804;0,871287129;0,842157842;0,188118812;0;0;0;0,709430129;1;True;-1;17;0,013670574;0,01152319;0,009796486;0,008313804;0,007235038;0,006447974;0,005600888;0,005090275;0,004484717;0,006342581;0,004147477;0,003980922;0,003376599;0,003262332;0,00296918;0,002772348;0,002225381;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3097;0,467951804;0,871287129;0,842157842;0,188118812;0;0;0;0,709430129;1;True;-1;17;0,013670574;0,011523196;0,009796486;0,008312648;0,007230689;0,006446774;0,005590481;0,004922275;0,00441368;0,004225895;0,003910793;0,003343554;0,006962704;0,007960917;0,003533711;0,003251723;0,00242356;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3098;0,457712108;0,871287129;0,842157842;0,198019802;1;0;0;0,705782396;0,631578947;True;14;19;0,013885542;0,011882484;0,012296315;0,010992425;0,008685177;0,008138269;0,01892432;0,02970922;0,043194715;0,046574984;0,039842896;0,059025038;0,405340195;0,444062144;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3099;0,460594314;0,861386139;0,841158841;0,198019802;1;0;0;0,692909868;-0,776315789;False;17;19;0,013885542;0,011882484;0,012296321;0,010992437;0,008762684;0,007551439;0,006948229;0,012538932;0,014566834;0,015679494;0,014273237;0,012428015;0,014451607;0,006501223;0,129884288;0,238662288;0,271084785;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3100;0,460594314;0,861386139;0,841158841;0,198019802;0;0;0;0,692909868;1;True;-1;2;0,004837613;0,001798421;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3101;0,460594314;0,861386139;0,841158841;0,198019802;0;0;0;0,692909868;1;True;-1;2;0,004837613;0,001798421;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3102;0,460594314;0,861386139;0,841158841;0,198019802;0;0;0;0,692909868;1;True;-1;2;0,004837613;0,001798421;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3103;0,460594314;0,861386139;0,841158841;0,198019802;0;0;0;0,692909868;1;True;-1;5;0,009644959;0,005903312;0,003766047;0,002544319;0,001754317;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3104;0,460594314;0,861386139;0,841158841;0,198019802;0;0;0;0,692909868;1;True;-1;2;0,005039727;0,001878198;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3105;0,460594314;0,851485149;0,84015984;0,198019802;0;0;0;0,673107888;-1;False;-1;23;0,014742875;0,012909501;0,013669251;0,012492758;0,011947243;0,033919979;0,038320795;0,065701775;0,06106564;0,055049449;0,072253823;0,048285823;0,041299034;0,00971943;0,140838131;0,101223275;0,086290427;0,094643705;0,027654033;0,025876993;0,005047749;0,006458479;0,00353349;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3106;0,460594314;0,851485149;0,84015984;0,198019802;0;0;0;0,673107888;1;True;-1;2;0,005039727;0,001878198;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3107;0,460594314;0,851485149;0,84015984;0,198019802;0;0;0;0,673107888;1;True;-1;2;0,005039727;0,001878198;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
