case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability
503;0,654513276;0,366336634;0,312127237;0,702970297;0;0;0;-0,223413651;1,5;True;-1;7;0,077286229;0,07022474;0,06614612;0,061570503;0,058591038;0,057394087;0,053452499;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
504;0,65333715;0,376237624;0,313492063;0,693069307;0;0;0;-0,201978875;1,5;True;-1;15;0,081098244;0,071709156;0,064593993;0,061531931;0,061102573;0,058366407;0,057159055;0,056785479;0,054179639;0,058491647;0,056312136;0,055332709;0,053660799;0,053346992;0,050869934;-1;-1;-1;-1;-1;-1
505;0,654524231;0,386138614;0,314851485;0,683168317;0;0;0;-0,179065156;1,5;True;-1;17;0,06644775;0,065565668;0,06509164;0,063346297;0,061527319;0,050632451;0,049379565;0,047285069;0,046258796;0,045301076;0,044941854;0,051965002;0,05183826;0,051698867;0,0480817;0,048269268;0,044638224;-1;-1;-1;-1
506;0,65203886;0,386138614;0,316205534;0,673267327;0;0;0;-0,15739946;1,5;True;-1;15;0,072262421;0,07649935;0,078597151;0,073789909;0,069150031;0,060336586;0,064050257;0,063314937;0,058742855;0,058129244;0,05364573;0,050357457;0,04979628;0,048049953;0,043754783;-1;-1;-1;-1;-1;-1
507;0,65016216;0,396039604;0,317554241;0,663366337;0;0;0;-0,13550727;1,5;True;-1;17;0,089942068;0,075981215;0,082879961;0,069246434;0,069812328;0,069511436;0,067302272;0,064309463;0,06140244;0,063985266;0,060090262;0,054601826;0,053708687;0,054632142;0,050745066;0,052023146;0,05281895;-1;-1;-1;-1
508;0,645871688;0,405940594;0,318897638;0,653465347;0;0;0;-0,114385158;1,5;True;-1;7;0,077742763;0,070950314;0,065461092;0,056532804;0,052482538;0,049321558;0,050193448;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
509;0,634183376;0,405940594;0,320235756;0,653465347;1;0;0;-0,112923583;-0,5;True;13;15;0,129700407;0,214418516;0,149648845;0,178706557;0,163248405;0,163954377;0,090845518;0,086387396;0,092195161;0,079281077;0,075422861;0,069304898;0,069942676;-1;-1;-1;-1;-1;-1;-1;-1
510;0,633095575;0,405940594;0,319607843;0,653465347;1;0;0;-0,108658541;-0,402564103;False;7;13;0,079758242;0,075307593;0,078199826;0,073259473;0,073654287;0,074397743;0,064766541;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
511;0,630381295;0,415841584;0,320939335;0,643564356;0;0;0;-0,086923511;1,5;True;-1;7;0,095576957;0,086564139;0,073543318;0,054246925;0,051208001;0,050443489;0,046322152;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
512;0,623584884;0,415841584;0,322265625;0,653465347;1;0;0;-0,107145533;-0,542424242;True;9;11;0,079707354;0,068795122;0,064664125;0,06258586;0,061239101;0,061815258;0,06576778;0,057247374;0,056659166;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
